X--Trace 1::[V(5) - V(4) | V(PR1)],Y--Trace 1::[V(5) - V(4) | V(PR1)],,X--Trace 2::[V(1) | V(PR2)],Y--Trace 2::[V(1) | V(PR2)]
1.8428e-06,-5.32907e-15,,1.8428e-06,0
1.8528e-06,-4.44089e-14,,1.8528e-06,0
1.8628e-06,6.92779e-14,,1.8628e-06,0
1.8728e-06,-7.10543e-14,,1.8728e-06,0
1.8828e-06,1.29674e-13,,1.8828e-06,0
1.8928e-06,5.50671e-14,,1.8928e-06,0
1.9028e-06,-1.98952e-13,,1.9028e-06,0
1.9128e-06,0,,1.9128e-06,0
1.9228e-06,-2.82441e-13,,1.9228e-06,0
1.9328e-06,-9.23706e-14,,1.9328e-06,0
1.9428e-06,6.75016e-14,,1.9428e-06,0
1.9528e-06,-1.81188e-13,,1.9528e-06,0
1.9628e-06,-1.04805e-13,,1.9628e-06,0
1.9728e-06,8.70415e-14,,1.9728e-06,0
1.9828e-06,-1.42109e-14,,1.9828e-06,0
1.9928e-06,1.36779e-13,,1.9928e-06,0
2e-06,3.33955e-13,,2e-06,0
2.00011e-06,0.000736793,,2.00011e-06,0.0574001
2.00034e-06,0.00255469,,2.00034e-06,0.1722
2.0008e-06,0.00479742,,2.0008e-06,0.401801
2.00132e-06,0.00477267,,2.00132e-06,0.659335
2.00201e-06,0.00462384,,2.00201e-06,1.007
2.00317e-06,0.0086137,,2.00317e-06,1.58722
2.00356e-06,0.0260773,,2.00356e-06,1.78119
2.00402e-06,0.0657787,,2.00402e-06,2.00877
2.00443e-06,0.11516,,2.00443e-06,2.21582
2.00526e-06,0.224094,,2.00526e-06,2.62991
2.00584e-06,0.231817,,2.00584e-06,2.91789
2.00646e-06,0.192895,,2.00646e-06,3.22801
2.00738e-06,0.197196,,2.00738e-06,3.68808
2.00882e-06,0.692812,,2.00882e-06,4.41101
2.01e-06,1.66548,,2.01e-06,5
2.01003e-06,1.6998,,2.01003e-06,5
2.0101e-06,1.768,,2.0101e-06,5
2.01023e-06,1.90384,,2.01023e-06,5
2.0105e-06,2.17407,,2.0105e-06,5
2.01104e-06,2.69213,,2.01104e-06,5
2.01196e-06,3.48394,,2.01196e-06,5
2.0132e-06,4.36466,,2.0132e-06,5
2.01439e-06,5.06576,,2.01439e-06,5
2.01562e-06,5.68779,,2.01562e-06,5
2.01693e-06,6.27253,,2.01693e-06,5
2.01858e-06,6.91086,,2.01858e-06,5
2.02137e-06,7.82728,,2.02137e-06,5
2.02405e-06,8.55712,,2.02405e-06,5
2.02744e-06,9.3286,,2.02744e-06,5
2.02891e-06,9.61974,,2.02891e-06,5
2.03084e-06,9.95673,,2.03084e-06,5
2.03232e-06,10.1747,,2.03232e-06,5
2.03341e-06,10.2348,,2.03341e-06,5
2.03439e-06,10.266,,2.03439e-06,5
2.03635e-06,10.3056,,2.03635e-06,5
2.03835e-06,10.3322,,2.03835e-06,5
2.04234e-06,10.3667,,2.04234e-06,5
2.04951e-06,10.4053,,2.04951e-06,5
2.05951e-06,10.4393,,2.05951e-06,5
2.06951e-06,10.4625,,2.06951e-06,5
2.07951e-06,10.4796,,2.07951e-06,5
2.08951e-06,10.4928,,2.08951e-06,5
2.09951e-06,10.5034,,2.09951e-06,5
2.10951e-06,10.512,,2.10951e-06,5
2.11951e-06,10.5191,,2.11951e-06,5
2.12951e-06,10.5251,,2.12951e-06,5
2.13951e-06,10.5302,,2.13951e-06,5
2.14951e-06,10.5345,,2.14951e-06,5
2.15951e-06,10.5383,,2.15951e-06,5
2.16951e-06,10.5416,,2.16951e-06,5
2.17951e-06,10.5445,,2.17951e-06,5
2.18951e-06,10.5471,,2.18951e-06,5
2.19951e-06,10.5493,,2.19951e-06,5
2.20951e-06,10.5514,,2.20951e-06,5
2.21951e-06,10.5532,,2.21951e-06,5
2.22951e-06,10.5548,,2.22951e-06,5
2.23951e-06,10.5563,,2.23951e-06,5
2.24901e-06,10.5576,,2.24901e-06,5
2.25901e-06,10.5589,,2.25901e-06,5
2.26901e-06,10.56,,2.26901e-06,5
2.27901e-06,10.561,,2.27901e-06,5
2.28901e-06,10.562,,2.28901e-06,5
2.29901e-06,10.5628,,2.29901e-06,5
2.30901e-06,10.5637,,2.30901e-06,5
